Company,9/30/2008
WISDOMTREE TRUST,-10.3
WOLVERINE WORLD WIDE INC,0.9
WOODWARD GOVERNOR CO,-23.9
WOORI BANK,-20.5
WORLD ACCEPTANCE CORP,-7.7
WORLD FUEL SERVICES CORP,-19.9
WORLD WRESTLING ENTMT INC,-2.8
WORTHINGTON INDUSTRIES INC,-14.1
WSFS FINANCIAL CORP,12.2
WVS FINANCIAL CORP,2.7
WYNDHAM WORLDWIDE CORP,-18.5
WYNN RESORTS LTD,-14.4
X C E L ENERGY INC,-1.4
X L CAPITAL LTD,-9.8
XERIUM TECHNOLOGIES INC,-16.5
XEROX CORP,-16.9
XILINX INC,-9.7
XOMA CORP,1.4
Y P F SOCIEDAD ANONIMA,0.5
Y R C WORLDWIDE INC,-33.9
YADKIN FINANCIAL CORP,3.7
YAHOO INC,-10.7
YAMANA GOLD INC,-22.9
YANZHOU COAL MINING CO LTD,-39.3
YORK WATER COMPANY,-11.3
YUM BRANDS INC,-8.6
ZEBRA TECHNOLOGIES CORP,-10.8
ZIMMER BIOMET HOLDINGS INC,-10.8
ZIONS BANCORPORATION,44.2
ZIOPHARM ONCOLOGY INC,19.9
ZIX CORP,-18.7
ZUMIEZ INC,14.4
ZWEIG FUND INC,-17.2
