Year,Index,Return
10/1/2005,61425,-1.8
11/1/2005,63833,3.9
12/1/2005,63877,0.1
1/1/2006,66043,3.4
2/1/2006,66069,0
3/1/2006,67278,1.8
4/1/2006,68012,1.1
5/1/2006,65876,-3.1
6/1/2006,65909,0.1
7/1/2006,65659,-0.4
8/1/2006,67267,2.5
9/1/2006,68781,2.3
10/1/2006,71284,3.6
11/1/2006,72803,2.1
12/1/2006,73727,1.3
1/1/2007,75084,1.8
2/1/2007,73898,-1.6
3/1/2007,74718,1.1
4/1/2007,77654,3.9
5/1/2007,80489,3.7
6/1/2007,79233,-1.6
7/1/2007,76595,-3.3
8/1/2007,77621,1.3
9/1/2007,80369,3.5
10/1/2007,82072,2.1
11/1/2007,78387,-4.5
12/1/2007,77917,-0.6
1/1/2008,73125,-6.2
2/1/2008,70961,-3
3/1/2008,70421,-0.8
4/1/2008,73788,4.8
5/1/2008,75293,2
6/1/2008,69066,-8.3
7/1/2008,68638,-0.6
8/1/2008,69777,1.7
9/1/2008,63435,-9.1
10/1/2008,52555,-17.2
11/1/2008,48440,-7.8
12/1/2008,49283,1.7
1/1/2009,45281,-8.1
2/1/2009,40713,-10.1
3/1/2009,44364,9
4/1/2009,48885,10.2
5/1/2009,51432,5.2
6/1/2009,51658,0.4
7/1/2009,55652,7.7
8/1/2009,57510,3.3
9/1/2009,59863,4.1
10/1/2009,58312,-2.6
11/1/2009,61554,5.6
12/1/2009,63253,2.8
1/1/2010,61128,-3.4
2/1/2010,63206,3.4
3/1/2010,67201,6.3
4/1/2010,68552,2
5/1/2010,63150,-7.9
6/1/2010,59639,-5.6
7/1/2010,63778,6.9
8/1/2010,60742,-4.8
9/1/2010,66543,9.6
10/1/2010,69131,3.9
11/1/2010,69553,0.6
12/1/2010,74303,6.8
1/1/2011,75789,2
2/1/2011,78442,3.5
3/1/2011,78811,0.5
4/1/2011,81096,2.9
5/1/2011,80066,-1.3
6/1/2011,78665,-1.8
7/1/2011,76816,-2.4
8/1/2011,72223,-6
9/1/2011,66741,-7.6
10/1/2011,74316,11.4
11/1/2011,74108,-0.3
12/1/2011,74656,0.7
1/1/2012,78427,5.1
2/1/2012,81893,4.4
3/1/2012,84440,3.1
4/1/2012,83722,-0.9
5/1/2012,78548,-6.2
6/1/2012,81604,3.9
7/1/2012,82248,0.8
8/1/2012,84354,2.6
9/1/2012,86665,2.7
10/1/2012,85149,-1.8
11/1/2012,85821,0.8
12/1/2012,86843,1.2
1/1/2013,91680,5.6
2/1/2013,92862,1.3
3/1/2013,96605,4
4/1/2013,98102,1.6
5/1/2013,100849,2.8
6/1/2013,99639,-1.2
7/1/2013,105268,5.7
8/1/2013,102416,-2.7
9/1/2013,106277,3.8
10/1/2013,110719,4.2
11/1/2013,114184,3.1
12/1/2013,117393,2.8
1/1/2014,113496,-3.3
2/1/2014,118773,4.7
3/1/2014,119284,0.4
4/1/2014,119057,-0.2
5/1/2014,121510,2.1
6/1/2014,124681,2.6
7/1/2014,122138,-2
8/1/2014,127316,4.2
9/1/2014,124808,-2
10/1/2014,127953,2.5
11/1/2014,131216,2.6
12/1/2014,131138,-0.1
1/1/2015,127059,-3.1
2/1/2015,134848,6.1
3/1/2015,133338,-1.1
4/1/2015,134124,0.6
5/1/2015,135948,1.4
6/1/2015,133868,-1.5
7/1/2015,135930,1.5
8/1/2015,127720,-6
9/1/2015,123799,-3.1
10/1/2015,133393,7.8
11/1/2015,134140,0.6
12/1/2015,131243,-2.2
1/1/2016,123683,-5.8
2/1/2016,123621,-0.1
3/1/2016,132250,7
4/1/2016,133467,0.9
5/1/2016,135856,1.8
6/1/2016,135815,0
7/1/2016,141207,4
8/1/2016,141927,0.5
9/1/2016,142310,0.3
10/1/2016,139464,-2
11/1/2016,146256,4.9
12/1/2016,148947,1.8
1/1/2017,151896,2
2/1/2017,157380,3.6
3/1/2017,157694,0.2
4/1/2017,159492,1.1
5/1/2017,161278,1.1
6/1/2017,162633,0.8
7/1/2017,165788,1.9
8/1/2017,166203,0.3
9/1/2017,170524,2.6
10/1/2017,174514,2.3
11/1/2017,180099,3.2
12/1/2017,182170,1.2
1/1/2018,192535,5.7
2/1/2018,185720,-3.5
3/1/2018,181559,-2.2
4/1/2018,182322,0.4
5/1/2018,187409,2.8
6/1/2018,188571,0.6
7/1/2018,194888,3.4
8/1/2018,201904,3.6
9/1/2018,202328,0.2
10/1/2018,187173,-7.5
11/1/2018,190674,1.9
12/1/2018,172808,-9.4
1/1/2019,187686,8.6
2/1/2019,194405,3.6
3/1/2019,196913,1.3
4/1/2019,205144,4.2
5/1/2019,191338,-6.7
6/1/2019,204942,7.1
7/1/2019,207770,1.4
8/1/2019,202742,-2.4
9/1/2019,206006,1.6
10/1/2019,210580,2.2
11/1/2019,218982,4
12/1/2019,225354,2.9
1/1/2020,225399,0
2/1/2020,207345,-8
3/1/2020,179851,-13.3
4/1/2020,204401,13.7
5/1/2020,215827,5.6
6/1/2020,221158,2.5
7/1/2020,233940,5.8
8/1/2020,251813,7.6
9/1/2020,242698,-3.6
10/1/2020,237625,-2.1
11/1/2020,267281,12.5
12/1/2020,279683,4.6
1/1/2021,279627,0
2/1/2021,287401,2.8
3/1/2021,296253,3.1
4/1/2021,310858,4.9
5/1/2021,311759,0.3
6/1/2021,320333,2.8
7/1/2021,324401,1.3
8/1/2021,333841,2.9
9/1/2021,319252,-4.4
10/1/2021,340482,6.7
11/1/2021,335205,-1.6
12/1/2021,345630,3.1
1/1/2022,324028,-6.3
2/1/2022,316608,-2.3
3/1/2022,326296,3.1
4/1/2022,295461,-9.5
5/1/2022,294545,-0.3
6/1/2022,269892,-8.4
7/1/2022,295936,9.7
8/1/2022,285342,-3.6
9/1/2022,259204,-9.2
10/1/2022,280096,8.1
11/1/2022,293793,4.9
